Date,AAPL
31/10/2000,0.197983857
01/11/2000,0.773036349
02/11/2000,1.383356485
03/11/2000,-0.041802641
06/11/2000,-0.608916402
07/11/2000,-0.096802837
08/11/2000,-1.089828904
09/11/2000,0.106152159
10/11/2000,-1.065837166
13/11/2000,0.28736007
14/11/2000,0.826595966
15/11/2000,-0.343345584
16/11/2000,-0.86859354
17/11/2000,-0.502155972
20/11/2000,0.451840756
21/11/2000,-0.132371158
22/11/2000,-0.362774371
24/11/2000,0.974907204
27/11/2000,-0.718009817
28/11/2000,-0.777330637
29/11/2000,-0.565877217
30/11/2000,-1.36427968
01/12/2000,0.670533938
04/12/2000,-0.445741646
05/12/2000,0.385142924
06/12/2000,-3.72912658
07/12/2000,0
08/12/2000,0.862044062
11/12/2000,0.136252625
12/12/2000,0.219052797
13/12/2000,-0.471484503
14/12/2000,-0.752532214
15/12/2000,-0.51376008
18/12/2000,0.265029984
19/12/2000,-0.376229679
20/12/2000,0.587345945
21/12/2000,-0.495425752
22/12/2000,1.494955412
26/12/2000,-0.438952055
27/12/2000,0.183032407
28/12/2000,0
29/12/2000,0.108074615
02/01/2001,0
03/01/2001,2.963889719
04/01/2001,0.965905542
05/01/2001,-0.93055281
08/01/2001,0.249347176
09/01/2001,0.863782188
10/01/2001,-0.843615527
11/01/2001,1.856368762
12/01/2001,-0.887484368
16/01/2001,-0.068139535
17/01/2001,-0.376855006
18/01/2001,2.261345568
19/01/2001,0.748149875
22/01/2001,-0.2250434
23/01/2001,1.172485889
24/01/2001,0
25/01/2001,-0.537376861
26/01/2001,-0.374626936
29/01/2001,2.127319684
30/01/2001,0.049541487
31/01/2001,-0.108862271
01/02/2001,-0.480340835
02/02/2001,-0.506543924
05/02/2001,-0.465194639
06/02/2001,1.016509757
07/02/2001,-0.383822979
08/02/2001,0
09/02/2001,-2.01684429
12/02/2001,0.606028533
13/02/2001,-0.613170385
14/02/2001,0.415192579
15/02/2001,0.632007814
16/02/2001,-1.219142968
20/02/2001,-0.769637159
21/02/2001,0.624967496
22/02/2001,-0.069133328
23/02/2001,0
26/02/2001,0.904483217
27/02/2001,-0.157433584
28/02/2001,-1.580334856
01/03/2001,0.636017768
02/03/2001,0.623945688
05/03/2001,1.359088954
06/03/2001,1.177439183
07/03/2001,-0.24012107
08/03/2001,-0.455353467
09/03/2001,-0.619836566
12/03/2001,-1.910988986
13/03/2001,0.960262038
14/03/2001,0.824891588
15/03/2001,-0.691995334
16/03/2001,-0.058834051
19/03/2001,0.945936132
20/03/2001,-0.851483624
21/03/2001,0.421026966
22/03/2001,1.430174106
23/03/2001,1.112856757
26/03/2001,-0.929759594
27/03/2001,0.806447545
28/03/2001,-0.505262426
29/03/2001,0.2686785
30/03/2001,-0.36535212
02/04/2001,-0.407714779
03/04/2001,-1.245840904
04/04/2001,-0.667498746
05/04/2001,1.220705422
06/04/2001,-0.226289165
09/04/2001,-0.043518218
10/04/2001,1.385248957
11/04/2001,-0.196368331
12/04/2001,0.539727947
16/04/2001,-0.87847216
17/04/2001,-0.952606051
18/04/2001,2.048401416
19/04/2001,1.883456435
20/04/2001,-0.358296168
23/04/2001,-0.449268511
24/04/2001,-0.132121366
25/04/2001,0.44463593
26/04/2001,-0.019733453
27/04/2001,1.063447923
30/04/2001,-0.468095215
01/05/2001,0.300819509
02/05/2001,0.466905967
03/05/2001,-1.212520071
04/05/2001,0.557135289
07/05/2001,-0.56757374
08/05/2001,-0.291797009
09/05/2001,-0.47656244
10/05/2001,-0.84298489
